Community and Neighbourhood Services,1797165
Works and Emergency Services,1461866
"Economic Development, Culture and Tourism",288587
Urban Development Services,97101
Corporate Services,304521
Finance,42316
Other (Note 11 (a)),405382
"Agencies, Boards and Commissions (Note 11 (b))",2684256
