Community and Neighbourhood Services,1649909
Works and Emergency Services,1356627
"Economic Development, Culture and Tourism",288438
Urban Development Services,85664
Corporate Services,243612
Finance,45949
Other (Note 12),544549
"Agencies, Boards and Commissions (Note 12)",2631102
