Community and Neighbourhood Services,1814910
Works and Emergency Services,1350263
"Economic Development, Culture and Tourism",273961
Urban Development Services,79796
Corporate Services,250197
Finance,35732
Other programs,26807
Non-program and corporate accounts,409505
"Agencies, Boards and Commissions",2333461
