parent_code,child_code
CNDGT_PTS_CSC,slc.12.421.03
CNDGT_PTS_CSC,slc.12.421.04
CNDGT_PTS_CSC,slc.12.421.05
CNDGT_PTS_CSC,slc.12.421.06
CNDGT_PTS_CSC,slc.12.421.07
CNDGT_PTS,CNDGT_PTS_PTP
CNDGT_PTS_PTP,slc.12.422.01
CNDGT_PTS_PTP,slc.12.422.02
CNDGT_PTS_PTP,slc.12.422.03
CNDGT_PTS_PTP,slc.12.422.04
CNDGT_PTS_PTP,slc.12.422.05
CNDGT_PTS_PTP,slc.12.422.06
CNDGT_PTS_PTP,slc.12.422.07
CNDGT_PTS,CNDGT_PTS_CSV
CNDGT_PTS_CSV,slc.12.430.01
CNDGT_PTS_CSV,slc.12.430.02
CNDGT_PTS_CSV,slc.12.430.03
CNDGT_PTS_CSV,slc.12.430.04
CNDGT_PTS_CSV,slc.12.430.05
CNDGT_PTS_CSV,slc.12.430.06
CNDGT_PTS_CSV,slc.12.430.07
CNDGT_PTS,CNDGT_PTS_PIC
CNDGT_PTS_PIC,slc.12.440.01
CNDGT_PTS_PIC,slc.12.440.02
CNDGT_PTS_PIC,slc.12.440.03
CNDGT_PTS_PIC,slc.12.440.04
CNDGT_PTS_PIC,slc.12.440.05
CNDGT_PTS_PIC,slc.12.440.06
CNDGT_PTS_PIC,slc.12.440.07
CNDGT_PTS,CNDGT_PTS_BPI
CNDGT_PTS_BPI,slc.12.445.01
CNDGT_PTS_BPI,slc.12.445.02
CNDGT_PTS_BPI,slc.12.445.03
CNDGT_PTS_BPI,slc.12.445.04
CNDGT_PTS_BPI,slc.12.445.05
CNDGT_PTS_BPI,slc.12.445.06
CNDGT_PTS_BPI,slc.12.445.07
CNDGT_PTS,CNDGT_PTS_EMS
CNDGT_PTS_EMS,slc.12.450.01
CNDGT_PTS_EMS,slc.12.450.02
CNDGT_PTS_EMS,slc.12.450.03
CNDGT_PTS_EMS,slc.12.450.04
CNDGT_PTS_EMS,slc.12.450.05
CNDGT_PTS_EMS,slc.12.450.06
CNDGT_PTS_EMS,slc.12.450.07
CNDGT_PTS,CNDGT_PTS_POA
CNDGT_PTS_POA,slc.12.460.01
CNDGT_PTS_POA,slc.12.460.02
CNDGT_PTS_POA,slc.12.460.03
CNDGT_PTS_POA,slc.12.460.04
CNDGT_PTS_POA,slc.12.460.05
CNDGT_PTS_POA,slc.12.460.06
CNDGT_PTS_POA,slc.12.460.07
CNDGT_PTS,CNDGT_PTS_OTH
CNDGT_PTS_OTH,slc.12.498.01
CNDGT_PTS_OTH,slc.12.498.02
CNDGT_PTS_OTH,slc.12.498.03
CNDGT_PTS_OTH,slc.12.498.04
CNDGT_PTS_OTH,slc.12.498.05
CNDGT_PTS_OTH,slc.12.498.06
CNDGT_PTS_OTH,slc.12.498.07
CNDGT,CNDGT_TPS
CNDGT_TPS,CNDGT_TPS_RDS
CNDGT_TPS_RDS,CNDGT_TPS_RDS_PAV
CNDGT_TPS_RDS_PAV,slc.12.611.01
CNDGT_TPS_RDS_PAV,slc.12.611.02
CNDGT_TPS_RDS_PAV,slc.12.611.03
CNDGT_TPS_RDS_PAV,slc.12.611.04
CNDGT_TPS_RDS_PAV,slc.12.611.05
CNDGT_TPS_RDS_PAV,slc.12.611.06
CNDGT_TPS_RDS_PAV,slc.12.611.07
CNDGT_TPS_RDS,CNDGT_TPS_RDS_UNP
CNDGT_TPS_RDS_UNP,slc.12.612.01
CNDGT_TPS_RDS_UNP,slc.12.612.02
CNDGT_TPS_RDS_UNP,slc.12.612.03
CNDGT_TPS_RDS_UNP,slc.12.612.04
CNDGT_TPS_RDS_UNP,slc.12.612.05
CNDGT_TPS_RDS_UNP,slc.12.612.06
CNDGT_TPS_RDS_UNP,slc.12.612.07
CNDGT_TPS_RDS,CNDGT_TPS_RDS_BRG
CNDGT_TPS_RDS_BRG,slc.12.613.01
CNDGT_TPS_RDS_BRG,slc.12.613.02
CNDGT_TPS_RDS_BRG,slc.12.613.03
CNDGT_TPS_RDS_BRG,slc.12.613.04
CNDGT_TPS_RDS_BRG,slc.12.613.05
CNDGT_TPS_RDS_BRG,slc.12.613.06
CNDGT_TPS_RDS_BRG,slc.12.613.07
CNDGT_TPS_RDS,CNDGT_TPS_RDS_OPS
CNDGT_TPS_RDS_OPS,slc.12.614.01
CNDGT_TPS_RDS_OPS,slc.12.614.02
CNDGT_TPS_RDS_OPS,slc.12.614.03
CNDGT_TPS_RDS_OPS,slc.12.614.04
CNDGT_TPS_RDS_OPS,slc.12.614.05
CNDGT_TPS_RDS_OPS,slc.12.614.06
CNDGT_TPS_RDS_OPS,slc.12.614.07
CNDGT_TPS,CNDGT_TPS_WIN
CNDGT_TPS_WIN,CNDGT_TPS_WIN_GEN
CNDGT_TPS_WIN_GEN,slc.12.621.01
CNDGT_TPS_WIN_GEN,slc.12.621.02
CNDGT_TPS_WIN_GEN,slc.12.621.03
CNDGT_TPS_WIN_GEN,slc.12.621.04
CNDGT_TPS_WIN_GEN,slc.12.621.05
CNDGT_TPS_WIN_GEN,slc.12.621.06
CNDGT_TPS_WIN_GEN,slc.12.621.07
CNDGT_TPS_WIN,CNDGT_TPS_WIN_PKG
CNDGT_TPS_WIN_PKG,slc.12.622.01
CNDGT_TPS_WIN_PKG,slc.12.622.02
CNDGT_TPS_WIN_PKG,slc.12.622.03
CNDGT_TPS_WIN_PKG,slc.12.622.04
CNDGT_TPS_WIN_PKG,slc.12.622.05
CNDGT_TPS_WIN_PKG,slc.12.622.06
CNDGT_TPS_WIN_PKG,slc.12.622.07
CNDGT_TPS,CNDGT_TPS_TRA
CNDGT_TPS_TRA,CNDGT_TPS_TRA_CNV
CNDGT_TPS_TRA_CNV,slc.12.631.01
CNDGT_TPS_TRA_CNV,slc.12.631.02
CNDGT_TPS_TRA_CNV,slc.12.631.03
CNDGT_TPS_TRA_CNV,slc.12.631.04
CNDGT_TPS_TRA_CNV,slc.12.631.05
CNDGT_TPS_TRA_CNV,slc.12.631.06
CNDGT_TPS_TRA_CNV,slc.12.631.07
CNDGT_TPS_TRA,CNDGT_TPS_TRA_DIS
CNDGT_TPS_TRA_DIS,slc.12.632.01
CNDGT_TPS_TRA_DIS,slc.12.632.02
CNDGT_TPS_TRA_DIS,slc.12.632.03
CNDGT_TPS_TRA_DIS,slc.12.632.04
CNDGT_TPS_TRA_DIS,slc.12.632.05
CNDGT_TPS_TRA_DIS,slc.12.632.06
CNDGT_TPS_TRA_DIS,slc.12.632.07
CNDGT_TPS,CNDGT_TPS_OTH
CNDGT_TPS_OTH,CNDGT_TPS_OTH_PKG
CNDGT_TPS_OTH_PKG,slc.12.640.01
CNDGT_TPS_OTH_PKG,slc.12.640.02
CNDGT_TPS_OTH_PKG,slc.12.640.03
CNDGT_TPS_OTH_PKG,slc.12.640.04
CNDGT_TPS_OTH_PKG,slc.12.640.05
CNDGT_TPS_OTH_PKG,slc.12.640.06
CNDGT_TPS_OTH_PKG,slc.12.640.07
CNDGT_TPS_OTH,CNDGT_TPS_OTH_LGT
CNDGT_TPS_OTH_LGT,slc.12.650.01
CNDGT_TPS_OTH_LGT,slc.12.650.02
CNDGT_TPS_OTH_LGT,slc.12.650.03
CNDGT_TPS_OTH_LGT,slc.12.650.04
CNDGT_TPS_OTH_LGT,slc.12.650.05
CNDGT_TPS_OTH_LGT,slc.12.650.06
CNDGT_TPS_OTH_LGT,slc.12.650.07
CNDGT_TPS_OTH,CNDGT_TPS_OTH_AIR
CNDGT_TPS_OTH_AIR,slc.12.660.01
CNDGT_TPS_OTH_AIR,slc.12.660.02
CNDGT_TPS_OTH_AIR,slc.12.660.03
CNDGT_TPS_OTH_AIR,slc.12.660.04
CNDGT_TPS_OTH_AIR,slc.12.660.05
CNDGT_TPS_OTH_AIR,slc.12.660.06
CNDGT_TPS_OTH_AIR,slc.12.660.07
CNDGT_TPS_OTH,CNDGT_TPS_OTH_OTH
CNDGT_TPS_OTH_OTH,slc.12.698.01
CNDGT_TPS_OTH_OTH,slc.12.698.02
CNDGT_TPS_OTH_OTH,slc.12.698.03
