Property taxation,3768009
Municipal land transfer tax,449604
Taxation from other governments,111598
User charges,2753273
Funding transfers from other governments (Note 19),2752112
Government business enterprise earnings (Note 5),73281
Investment income,270603
Development charges,132523
Rent and concessions,426929
Other,511685
