Taxation,3859765
Taxation from other governments,108656
User charges,2529093
Funding transfers from other governments (Note 20),3173242
Government Business Enterprise Earnings (Note 7),115012
Investment Income,265990
Development charges,92162
Rent and Concessions,372959
Other,540861
