Property taxation,3907433
Taxation from other governments,98596
User charges,2632476
Funding transfers from other governments (Note 19),3148351
Government Business Enterprise Earnings (Note 5),153294
Investment Income,248397
Development charges,94952
Rent and Concessions,386073
Other,641531
