Property taxation,3750325
Municipal land transfer tax,349798
Taxation from other governments,106600
User charges,2797655
Funding transfers from other governments (Note 20),3054218
Gain on sale of Enwave (Note 6),96611
Government business enterprise earnings (Note 6),188041
Investment income,246760
Development charges,141133
Rent and concessions,395470
Other,584536
