Property taxation,3879877
Municipal land transfer tax,524000
Taxation from other governments,86302
User charges,2780791
Funding transfers from other governments (Note 19),2862220
Government business enterprise earnings (Note 5),294189
Investment income,259679
Development charges,221192
Rent and concessions,451776
Other,660497
